22 10:55:41.206 | INFO  | main  | EvStatJDBCTemplate$1:81    | PDS1, pkey=PDS-141, ratio=0.9, pv=0.0, timeoriginal=14400
22 10:55:41.206 | INFO  | main  | EvStatJDBCTemplate$1:84    | timeoriginalestimate->pv:2:insert into customfieldvalue(id, issue, customfield, numbervalue) values(16010, 17204, 10601, 0.5);
22 10:55:41.206 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 14400 where issue = 17204 and customfield = 10601
22 10:55:41.207 | INFO  | main  | EvStatJDBCTemplate$1:81    | CEP2, pkey=CEPB-3, ratio=0.0, pv=0.0, timeoriginal=0
22 10:55:41.207 | INFO  | main  | EvStatJDBCTemplate$1:93    | ALL NULL, issue id 14364, CEPB-3, pv=0.0, 0
22 10:55:41.208 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-74, ratio=0.0, pv=0.0, timeoriginal=288000
22 10:55:41.208 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 288000 where issue = 17154 and customfield = 10601
22 10:55:41.212 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-39, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.213 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 16914 and customfield = 10601
22 10:55:41.213 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-72, ratio=0.0, pv=0.0, timeoriginal=28800
22 10:55:41.214 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 28800 where issue = 17137 and customfield = 10601
22 10:55:41.215 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-18, ratio=0.0, pv=0.0, timeoriginal=144000
22 10:55:41.215 | INFO  | main  | EvStatJDBCTemplate$1:97    | timeoriginalestimate->pv， update customfieldvalue set numbervalue = 144000 where issue = 16843 and customfield = 10601
22 10:55:41.216 | INFO  | main  | EvStatJDBCTemplate$1:81    | Paas, pkey=PAAS-32, ratio=0.0, pv=0.0, timeoriginal=57600
